State,"Number of Fatalities, 2012","Rate of Fatalities, 2012","State Rank, Fatalities 2012",Number of Injuries/Illnesses 2012,Injuries/Illnesses 2012 Rate,Penalties FY 2013 (Average $),Penalties FY 2013 (Rank),Inspectors,Years to Inspect Each Workplace Once,State or Federal Program,State Size
"South Carolina
(33.99882060100049, -81.04536765699964)",63,3.5,25,"36,200",3,492,49,24,111,State,Small
"West Virginia
(38.665511497000466, -80.71263935099967)",49,6.9,46,"19,800",4.1,"1,798",27,7,173,Federal,Small
"Massachusetts
(42.27687306500047, -72.08268985899963)",44,1.4,1,"69,700",3.1,"1,929",21,33,123,Federal,Small
"Tennessee
(35.680943063000484, -85.77448642199965)",101,3.8,30,"65,100",3.5,727,45,30,82,State,Mid
"Oklahoma
(35.472034350000456, -97.52106845499969)",97,6.1,42,"39,000",3.6,"1,872",24,19,131,Federal,Mid
"Illinois
(40.48501278700047, -88.99770813999965)",146,2.5,10,"124,900",3.2,"1,876",23,74,137,Federal,Mid
"Nebraska
(41.64104043900045, -99.36571864599966)",48,5.2,38,"24,300",3.9,"2,565",5,9,128,Federal,Mlage
"Delaware
(39.00883351400046, -75.57773943699965)",14,3.1,18,"7,900",2.8,"2,406",6,5,175,Federal,Small
"Hawaii
(21.30485166200043, -157.85774691599974)",20,3.4,22,"13,700",3.8,964,39,20,79,State,Small
"Iowa
(42.469404401000475, -93.81648936699969)",97,6.6,44,"45,600",4.5,790,43,26,98,State,Mid
"Arizona
(34.865973091000455, -111.76380949799972)",60,2.3,6,"54,400",3.2,891,40,30,126,State,Large
"Florida
(28.932042899000464, -81.92895558499964)",218,2.7,15,,,"1,821",25,60,238,Federal,Mid
"Virginia
(37.54268075100049, -78.45788924199968)",149,3.8,30,"66,200",2.7,726,46,48,82,State,Small
"Missouri
(38.63579372300046, -92.56629737199967)",88,3.3,21,"60,300",3.3,"1,931",20,26,118,Federal,Mid
"Michigan
(44.66131575600048, -84.71438724399968)",137,3.4,22,"105,500",4,542,48,63,45,State,Mid
"Indiana
(39.76691364600049, -86.14995579899966)",115,4.2,33,"77,900",3.9,"1,054",34,39,104,State,Small
"North Carolina
(35.46622388600048, -79.15924924699965)",146,3.5,25,"75,900",2.9,996,38,104,60,State,Mid
"New Hampshire
(43.6559537330005, -71.50035726399966)",14,2.2,4,,,"2,243",8,7,119,Federal,Small
"New Mexico
(34.52088247800049, -106.24057768899968)",39,4.8,35,"19,900",3.9,998,37,9,191,State,Large
"Pennsylvania
(40.79373106100047, -77.86069775999965)",194,3.4,22,"155,300",3.9,"1,916",22,57,125,Federal,Mid
