State,"Number of Fatalities, 2012",Number of Injuries/Illnesses 2012,Penalties FY 2013 (Average $),State or Federal Program,State Size,Inspectors (less than),"State Rank, Fatalities 2012"
South Carolina,63,36200,492,State,Small,30,25
West Virginia,49,19800,1798,Federal,Small,10,46
Massachusetts,44,69700,1929,Federal,Small,30,1
Tennessee,101,65100,727,State,Mid,30,30
Oklahoma,97,39000,1872,Federal,Mid,20,42
Illinois,146,124900,1876,Federal,Mid,80,10
Nebraska,48,24300,2565,Federal,Large,10,38
Delaware,14,7900,2406,Federal,Small,10,18
Hawaii,20,13700,964,State,Small,20,22
Iowa,97,45600,790,State,Mid,30,44
Arizona,60,54400,891,State,Large,30,6
Florida,218,NA,1821,Federal,Mid,80,15
Virginia,149,66200,726,State,Small,50,30
Missouri,88,60300,1931,Federal,Mid,30,21
Michigan,137,105500,542,State,Mid,80,22
Indiana,115,77900,1054,State,Small,50,33
North Carolina,146,75900,996,State,Mid,120,25
New Hampshire,14,NA,2243,Federal,Small,10,4
New Mexico,39,19900,998,State,Large,10,35
Pennsylvania,194,155300,1916,Federal,Mid,80,22
South Dakota,31,NA,2346,Federal,Large,30,45
New York,202,146300,2016,Federal,Mid,120,8
Utah,39,27700,1053,State,Large,30,17
Maine,19,21200,2083,Federal,Small,10,20
Montana,34,13300,1983,Federal,Large,10,47
Vermont,11,9900,1008,State,Small,10,25
Arkansas,63,26600,2569,Federal,Mid,10,39
Nevada,42,32400,2133,State,Small,50,29
Kentucky,91,48900,3254,State,Small,50,37
Maryland,72,51900,685,State,Small,50,12
Alabama,84,41200,1803,Federal,Mid,30,34
Connecticut,36,43800,1735,Federal,Small,30,3
Oregon,43,42900,363,State,Large,80,12
Colorado,82,NA,1649,Federal,Large,30,25
Ohio,161,113600,2156,Federal,Large,80,18
Wyoming,35,6500,1777,State,Large,10,49
Minnesota,70,67500,768,State,Large,80,12
Kansas,76,33400,1971,Federal,Large,30,41
Idaho,19,NA,1449,Federal,Large,10,15
Washington,67,89300,791,State,Mid,120,4
Wisconsin,114,72900,2207,Federal,Mid,50,32
Mississippi,63,NA,1515,Federal,Mid,30,40
Louisiana,116,30600,1765,Federal,Mid,30,43
Georgia,101,74800,2061,Federal,Mid,50,10
Rhode Island,8,NA,2023,Federal,Small,10,2
Alaska,31,9700,889,State,Large,10,48
New Jersey,92,80900,2151,Federal,Large,80,8
North Dakota,65,NA,3045,Federal,Large,10,50
Texas,536,203200,2187,Federal,Large,100,35
California,375,345400,6422,State,Large,220,6
